# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Quranic Arabic Corpus (morphology, version 0.4)
#  Copyright (C) 2011 Kais Dukes
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(4:151:5:1)	wa	CIRC	PREFIX|w:CIRC+
(4:151:5:2)	>aEotado	V	STEM|POS:V|PERF|(IV)|LEM:>aEotadato|ROOT:Etd|1P
(4:151:5:3)	naA	PRON	SUFFIX|PRON:1P
(4:151:6:1)	li	P	PREFIX|l:P+
(4:151:6:2)	lo	DET	PREFIX|Al+
(4:151:6:3)	ka`firiyna	N	STEM|POS:N|ACT|PCPL|LEM:ka`firuwn|ROOT:kfr|MP|GEN
(4:151:7:1)	Ea*aAbFA	N	STEM|POS:N|LEM:Ea*aAb|ROOT:E*b|M|INDEF|ACC
(4:151:8:1)	m~uhiynFA	ADJ	STEM|POS:ADJ|ACT|PCPL|(IV)|LEM:m~uhiyn|ROOT:hwn|M|INDEF|ACC
(4:152:1:1)	wa	CONJ	PREFIX|w:CONJ+
(4:152:1:2)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(4:152:2:1)	'aAmanu	V	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(4:152:2:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:152:3:1)	bi	P	PREFIX|bi+
(4:152:3:2)	{ll~ahi	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
(4:152:4:1)	wa	CONJ	PREFIX|w:CONJ+
(4:152:4:2)	rusuli	N	STEM|POS:N|LEM:rasuwl|ROOT:rsl|MP|GEN
(4:152:4:3)	hi.	PRON	SUFFIX|PRON:3MS
(4:152:5:1)	wa	CONJ	PREFIX|w:CONJ+
(4:152:5:2)	lamo	NEG	STEM|POS:NEG|LEM:lam
(4:152:6:1)	yufar~iqu	V	STEM|POS:V|IMPF|(II)|LEM:far~aqu|ROOT:frq|3MP|MOOD:JUS
(4:152:6:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:152:7:1)	bayona	LOC	STEM|POS:LOC|LEM:bayon|ROOT:byn|ACC
(4:152:8:1)	>aHadK	N	STEM|POS:N|LEM:>aHad|ROOT:AHd|M|INDEF|GEN
(4:152:9:1)	m~ino	P	STEM|POS:P|LEM:min
(4:152:9:2)	humo	PRON	SUFFIX|PRON:3MP
(4:152:10:1)	>uw@la`^}ika	DEM	STEM|POS:DEM|LEM:>uwla`^}ik|P
(4:152:11:1)	sawofa	FUT	STEM|POS:FUT|LEM:sawof
(4:152:12:1)	yu&otiy	V	STEM|POS:V|IMPF|(IV)|LEM:A^taY|ROOT:Aty|3MS
(4:152:12:2)	himo	PRON	SUFFIX|PRON:3MP
(4:152:13:1)	>ujuwra	N	STEM|POS:N|LEM:>ajor|ROOT:Ajr|MP|ACC
(4:152:13:2)	humo	PRON	SUFFIX|PRON:3MP
(4:152:14:1)	wa	REM	PREFIX|w:REM+
(4:152:14:2)	kaAna	V	STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(4:152:15:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(4:152:16:1)	gafuwrFA	N	STEM|POS:N|LEM:gafuwr|ROOT:gfr|MS|INDEF|ACC
(4:152:17:1)	r~aHiymFA	ADJ	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|INDEF|ACC
(4:153:1:1)	yaso_#alu	V	STEM|POS:V|IMPF|LEM:sa>ala|ROOT:sAl|3MS
(4:153:1:2)	ka	PRON	SUFFIX|PRON:2MS
(4:153:2:1)	>aholu	N	STEM|POS:N|LEM:>ahol|ROOT:Ahl|M|NOM
(4:153:3:1)	{lo	DET	PREFIX|Al+
(4:153:3:2)	kita`bi	N	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN
(4:153:4:1)	>an	SUB	STEM|POS:SUB|LEM:>an
(4:153:5:1)	tunaz~ila	V	STEM|POS:V|IMPF|(II)|LEM:naz~ala|ROOT:nzl|2MS|MOOD:SUBJ
(4:153:6:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(4:153:6:2)	himo	PRON	SUFFIX|PRON:3MP
(4:153:7:1)	kita`bFA	N	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|INDEF|ACC
(4:153:8:1)	m~ina	P	STEM|POS:P|LEM:min
(4:153:9:1)	{l	DET	PREFIX|Al+
(4:153:9:2)	s~amaA^'i	N	STEM|POS:N|LEM:samaA^'|ROOT:smw|F|GEN
(4:153:10:1)	fa	REM	PREFIX|f:REM+
(4:153:10:2)	qado	CERT	STEM|POS:CERT|LEM:qad
(4:153:11:1)	sa>alu	V	STEM|POS:V|PERF|LEM:sa>ala|ROOT:sAl|3MP
(4:153:11:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:153:12:1)	muwsaY`^	PN	STEM|POS:PN|LEM:muwsaY`|M|ACC
(4:153:13:1)	>akobara	N	STEM|POS:N|LEM:>akobar|ROOT:kbr|MS|ACC
(4:153:14:1)	min	P	STEM|POS:P|LEM:min
(4:153:15:1)	*a`lika	DEM	STEM|POS:DEM|LEM:*a`lik|MS
(4:153:16:1)	fa	CONJ	PREFIX|f:CONJ+
(4:153:16:2)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(4:153:16:3)	w^A@	PRON	SUFFIX|PRON:3MP
(4:153:17:1)	>ari	V	STEM|POS:V|IMPV|(IV)|LEM:>arayo|ROOT:rAy|2MS
(4:153:17:2)	naA	PRON	SUFFIX|PRON:1P
(4:153:18:1)	{ll~aha	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC
(4:153:19:1)	jahorapF	N	STEM|POS:N|LEM:jahorap|ROOT:jhr|F|INDEF|ACC
(4:153:20:1)	fa	CONJ	PREFIX|f:CONJ+
(4:153:20:2)	>axa*ato	V	STEM|POS:V|PERF|LEM:>axa*a|ROOT:Ax*|3FS
(4:153:20:3)	humu	PRON	SUFFIX|PRON:3MP
(4:153:21:1)	{l	DET	PREFIX|Al+
(4:153:21:2)	S~a`Eiqapu	N	STEM|POS:N|LEM:SaAEiqap|ROOT:SEq|FS|NOM
(4:153:22:1)	bi	P	PREFIX|bi+
(4:153:22:2)	Zulomi	N	STEM|POS:N|LEM:Zulom|ROOT:Zlm|M|GEN
(4:153:22:3)	himo	PRON	SUFFIX|PRON:3MP
(4:153:23:1)	vum~a	CONJ	STEM|POS:CONJ|LEM:vum~
(4:153:24:1)	{t~axa*u	V	STEM|POS:V|PERF|(VIII)|LEM:{t~axa*a|ROOT:Ax*|3MP
(4:153:24:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:153:25:1)	{lo	DET	PREFIX|Al+
(4:153:25:2)	Eijola	N	STEM|POS:N|LEM:Eijol|ROOT:Ejl|M|ACC
(4:153:26:1)	min[	P	STEM|POS:P|LEM:min
(4:153:27:1)	baEodi	N	STEM|POS:N|LEM:baEod|ROOT:bEd|GEN
(4:153:28:1)	maA	REL	STEM|POS:REL|LEM:maA
(4:153:29:1)	jaA^'ato	V	STEM|POS:V|PERF|LEM:jaA^'a|ROOT:jyA|3FS
(4:153:29:2)	humu	PRON	SUFFIX|PRON:3MP
(4:153:30:1)	{lo	DET	PREFIX|Al+
(4:153:30:2)	bay~ina`tu	N	STEM|POS:N|LEM:bay~inap|ROOT:byn|FP|NOM
(4:153:31:1)	fa	CONJ	PREFIX|f:CONJ+
(4:153:31:2)	Eafawo	V	STEM|POS:V|PERF|LEM:EafaA|ROOT:Efw|1P
(4:153:31:3)	naA	PRON	SUFFIX|PRON:1P
(4:153:32:1)	Ean	P	STEM|POS:P|LEM:Ean
(4:153:33:1)	*a`lika	DEM	STEM|POS:DEM|LEM:*a`lik|MS
(4:153:34:1)	wa	CONJ	PREFIX|w:CONJ+
(4:153:34:2)	'aAtayo	V	STEM|POS:V|PERF|(IV)|LEM:A^taY|ROOT:Aty|1P
(4:153:34:3)	naA	PRON	SUFFIX|PRON:1P
(4:153:35:1)	muwsaY`	PN	STEM|POS:PN|LEM:muwsaY`|M|ACC
(4:153:36:1)	suloTa`nFA	N	STEM|POS:N|LEM:suloTa`n|ROOT:slT|M|INDEF|ACC
(4:153:37:1)	m~ubiynFA	ADJ	STEM|POS:ADJ|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|ACC
(4:154:1:1)	wa	CONJ	PREFIX|w:CONJ+
(4:154:1:2)	rafaEo	V	STEM|POS:V|PERF|LEM:rafaEa|ROOT:rfE|1P
(4:154:1:3)	naA	PRON	SUFFIX|PRON:1P
(4:154:2:1)	fawoqa	LOC	STEM|POS:LOC|LEM:fawoq|ROOT:fwq|M|ACC
(4:154:2:2)	humu	PRON	SUFFIX|PRON:3MP
(4:154:3:1)	{l	DET	PREFIX|Al+
(4:154:3:2)	T~uwra	N	STEM|POS:N|LEM:Tuwr|ROOT:Twr|M|ACC
(4:154:4:1)	bi	P	PREFIX|bi+
(4:154:4:2)	miyva`qi	N	STEM|POS:N|LEM:m~iyva`q|ROOT:wvq|M|GEN
(4:154:4:3)	himo	PRON	SUFFIX|PRON:3MP
(4:154:5:1)	wa	CONJ	PREFIX|w:CONJ+
(4:154:5:2)	qulo	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|1P
(4:154:5:3)	naA	PRON	SUFFIX|PRON:1P
(4:154:6:1)	la	P	PREFIX|l:P+
(4:154:6:2)	humu	PRON	STEM|POS:PRON|3MP
(4:154:7:1)	{doxulu	V	STEM|POS:V|IMPV|LEM:daxala|ROOT:dxl|2MP
(4:154:7:2)	wA@	PRON	SUFFIX|PRON:2MP
(4:154:8:1)	{lo	DET	PREFIX|Al+
(4:154:8:2)	baAba	N	STEM|POS:N|LEM:baAb|ROOT:bwb|M|ACC
(4:154:9:1)	suj~adFA	N	STEM|POS:N|ACT|PCPL|LEM:saAjid|ROOT:sjd|MP|INDEF|ACC
(4:154:10:1)	wa	CONJ	PREFIX|w:CONJ+
(4:154:10:2)	qulo	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|1P
(4:154:10:3)	naA	PRON	SUFFIX|PRON:1P
(4:154:11:1)	la	P	PREFIX|l:P+
(4:154:11:2)	humo	PRON	STEM|POS:PRON|3MP
(4:154:12:1)	laA	PRO	STEM|POS:PRO|LEM:laA
(4:154:13:1)	taEodu	V	STEM|POS:V|IMPF|LEM:yaEodu|ROOT:Edw|2MP|MOOD:JUS
(4:154:13:2)	wA@	PRON	SUFFIX|PRON:2MP
(4:154:14:1)	fiY	P	STEM|POS:P|LEM:fiY
(4:154:15:1)	{l	DET	PREFIX|Al+
(4:154:15:2)	s~aboti	N	STEM|POS:N|LEM:s~abot|ROOT:sbt|M|GEN
(4:154:16:1)	wa	CONJ	PREFIX|w:CONJ+
(4:154:16:2)	>axa*o	V	STEM|POS:V|PERF|LEM:>axa*a|ROOT:Ax*|1P
(4:154:16:3)	naA	PRON	SUFFIX|PRON:1P
(4:154:17:1)	mino	P	STEM|POS:P|LEM:min
(4:154:17:2)	hum	PRON	SUFFIX|PRON:3MP
(4:154:18:1)	m~iyva`qFA	N	STEM|POS:N|LEM:m~iyva`q|ROOT:wvq|M|INDEF|ACC
(4:154:19:1)	galiyZFA	ADJ	STEM|POS:ADJ|LEM:galiyZ|ROOT:glZ|MS|INDEF|ACC
(4:155:1:1)	fa	CONJ	PREFIX|f:CONJ+
(4:155:1:2)	bi	P	PREFIX|bi+
(4:155:1:3)	maA	SUP	STEM|POS:SUP|LEM:maA
(4:155:2:1)	naqoDi	N	STEM|POS:N|VN|LEM:naqoD|ROOT:nqD|M|GEN
(4:155:2:2)	him	PRON	SUFFIX|PRON:3MP
(4:155:3:1)	m~iyva`qa	N	STEM|POS:N|LEM:m~iyva`q|ROOT:wvq|M|ACC
(4:155:3:2)	humo	PRON	SUFFIX|PRON:3MP
(4:155:4:1)	wa	CONJ	PREFIX|w:CONJ+
(4:155:4:2)	kufori	N	STEM|POS:N|LEM:kufor|ROOT:kfr|M|GEN
(4:155:4:3)	him	PRON	SUFFIX|PRON:3MP
(4:155:5:1)	bi	P	PREFIX|bi+
(4:155:5:2)	_#aAya`ti	N	STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FP|GEN
(4:155:6:1)	{ll~ahi	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
(4:155:7:1)	wa	CONJ	PREFIX|w:CONJ+
(4:155:7:2)	qatoli	N	STEM|POS:N|VN|LEM:qatol|ROOT:qtl|M|GEN
(4:155:7:3)	himu	PRON	SUFFIX|PRON:3MP
(4:155:8:1)	{lo	DET	PREFIX|Al+
(4:155:8:2)	>an[biyaA^'a	N	STEM|POS:N|LEM:n~abiY~|ROOT:nbA|MP|ACC
(4:155:9:1)	bi	P	PREFIX|bi+
(4:155:9:2)	gayori	N	STEM|POS:N|LEM:gayor|ROOT:gyr|M|GEN
(4:155:10:1)	Haq~K	N	STEM|POS:N|LEM:Haq~|ROOT:Hqq|M|INDEF|GEN
(4:155:11:1)	wa	CONJ	PREFIX|w:CONJ+
(4:155:11:2)	qawoli	N	STEM|POS:N|VN|LEM:qawol|ROOT:qwl|M|GEN
(4:155:11:3)	himo	PRON	SUFFIX|PRON:3MP
(4:155:12:1)	quluwbu	N	STEM|POS:N|LEM:qalob|ROOT:qlb|FP|NOM
(4:155:12:2)	naA	PRON	SUFFIX|PRON:1P
(4:155:13:1)	gulofN[	N	STEM|POS:N|LEM:gulof|ROOT:glf|MP|INDEF|NOM
(4:155:14:1)	balo	RET	STEM|POS:RET|LEM:bal
(4:155:15:1)	TabaEa	V	STEM|POS:V|PERF|LEM:TabaEa|ROOT:TbE|3MS
(4:155:16:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(4:155:17:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(4:155:17:2)	haA	PRON	SUFFIX|PRON:3FS
(4:155:18:1)	bi	P	PREFIX|bi+
(4:155:18:2)	kufori	N	STEM|POS:N|LEM:kufor|ROOT:kfr|M|GEN
(4:155:18:3)	himo	PRON	SUFFIX|PRON:3MP
(4:155:19:1)	fa	REM	PREFIX|f:REM+
(4:155:19:2)	laA	NEG	STEM|POS:NEG|LEM:laA
(4:155:20:1)	yu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(4:155:20:2)	wna	PRON	SUFFIX|PRON:3MP
(4:155:21:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(4:155:22:1)	qaliylFA	N	STEM|POS:N|LEM:qaliyl|ROOT:qll|MS|INDEF|ACC
(4:156:1:1)	wa	CONJ	PREFIX|w:CONJ+
(4:156:1:2)	bi	P	PREFIX|bi+
(4:156:1:3)	kufori	N	STEM|POS:N|LEM:kufor|ROOT:kfr|M|GEN
(4:156:1:4)	himo	PRON	SUFFIX|PRON:3MP
(4:156:2:1)	wa	CONJ	PREFIX|w:CONJ+
(4:156:2:2)	qawoli	N	STEM|POS:N|VN|LEM:qawol|ROOT:qwl|M|GEN
(4:156:2:3)	himo	PRON	SUFFIX|PRON:3MP
(4:156:3:1)	EalaY`	P	STEM|POS:P|LEM:EalaY`
(4:156:4:1)	maroyama	PN	STEM|POS:PN|LEM:maroyam|F|GEN
(4:156:5:1)	buhota`nFA	N	STEM|POS:N|LEM:buhota`n|ROOT:bht|M|INDEF|ACC
(4:156:6:1)	EaZiymFA	ADJ	STEM|POS:ADJ|LEM:EaZiym|ROOT:EZm|MS|INDEF|ACC
(4:157:1:1)	wa	CONJ	PREFIX|w:CONJ+
(4:157:1:2)	qawoli	N	STEM|POS:N|VN|LEM:qawol|ROOT:qwl|M|GEN
(4:157:1:3)	himo	PRON	SUFFIX|PRON:3MP
(4:157:2:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(4:157:2:2)	A	PRON	SUFFIX|PRON:1P
(4:157:3:1)	qatalo	V	STEM|POS:V|PERF|LEM:qatala|ROOT:qtl|1P
(4:157:3:2)	naA	PRON	SUFFIX|PRON:1P
(4:157:4:1)	{lo	DET	PREFIX|Al+
(4:157:4:2)	masiyHa	PN	STEM|POS:PN|LEM:masiyH|ACC
(4:157:5:1)	EiysaY	PN	STEM|POS:PN|LEM:EiysaY|ACC
(4:157:6:1)	{bona	N	STEM|POS:N|LEM:{bon|ROOT:bny|M|ACC
(4:157:7:1)	maroyama	PN	STEM|POS:PN|LEM:maroyam|F|GEN
(4:157:8:1)	rasuwla	N	STEM|POS:N|LEM:rasuwl|ROOT:rsl|M|ACC
(4:157:9:1)	{ll~ahi	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
(4:157:10:1)	wa	REM	PREFIX|w:REM+
(4:157:10:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(4:157:11:1)	qatalu	V	STEM|POS:V|PERF|LEM:qatala|ROOT:qtl|3MP
(4:157:11:2)	w	PRON	SUFFIX|PRON:3MP
(4:157:11:3)	hu	PRON	SUFFIX|PRON:3MS
(4:157:12:1)	wa	CONJ	PREFIX|w:CONJ+
(4:157:12:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(4:157:13:1)	Salabu	V	STEM|POS:V|PERF|LEM:Salabu|ROOT:Slb|3MP
(4:157:13:2)	w	PRON	SUFFIX|PRON:3MP
(4:157:13:3)	hu	PRON	SUFFIX|PRON:3MS
(4:157:14:1)	wa	SUP	PREFIX|w:SUP+
(4:157:14:2)	la`kin	AMD	STEM|POS:AMD|LEM:la`kin
(4:157:15:1)	$ub~iha	V	STEM|POS:V|PERF|PASS|(II)|LEM:$ub~iha|ROOT:$bh|3MS
(4:157:16:1)	la	P	PREFIX|l:P+
(4:157:16:2)	humo	PRON	STEM|POS:PRON|3MP
(4:157:17:1)	wa	REM	PREFIX|w:REM+
(4:157:17:2)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(4:157:18:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(4:157:19:1)	{xotalafu	V	STEM|POS:V|PERF|(VIII)|LEM:{xotalafa|ROOT:xlf|3MP
(4:157:19:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:157:20:1)	fiy	P	STEM|POS:P|LEM:fiY
(4:157:20:2)	hi	PRON	SUFFIX|PRON:3MS
(4:157:21:1)	la	EMPH	PREFIX|l:EMPH+
(4:157:21:2)	fiY	P	STEM|POS:P|LEM:fiY
(4:157:22:1)	$ak~K	N	STEM|POS:N|LEM:$ak~|ROOT:$kk|M|INDEF|GEN
(4:157:23:1)	m~ino	P	STEM|POS:P|LEM:min
(4:157:23:2)	hu	PRON	SUFFIX|PRON:3MS
(4:157:24:1)	maA	NEG	STEM|POS:NEG|LEM:maA|SP:kaAn
(4:157:25:1)	la	P	PREFIX|l:P+
(4:157:25:2)	hum	PRON	STEM|POS:PRON|3MP
(4:157:26:1)	bi	P	PREFIX|bi+
(4:157:26:2)	hi.	PRON	STEM|POS:PRON|3MS
(4:157:27:1)	mino	P	STEM|POS:P|LEM:min
(4:157:28:1)	EilomK	N	STEM|POS:N|LEM:Eilom|ROOT:Elm|M|INDEF|GEN
(4:157:29:1)	<il~aA	EXP	STEM|POS:EXP|LEM:<il~aA
(4:157:30:1)	{t~ibaAEa	N	STEM|POS:N|VN|(VIII)|LEM:{t~ibaAE|ROOT:tbE|M|ACC
(4:157:31:1)	{l	DET	PREFIX|Al+
(4:157:31:2)	Z~an~i	N	STEM|POS:N|LEM:Zan~|ROOT:Znn|M|GEN
(4:157:32:1)	wa	CONJ	PREFIX|w:CONJ+
(4:157:32:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(4:157:33:1)	qatalu	V	STEM|POS:V|PERF|LEM:qatala|ROOT:qtl|3MP
(4:157:33:2)	w	PRON	SUFFIX|PRON:3MP
(4:157:33:3)	hu	PRON	SUFFIX|PRON:3MS
(4:157:34:1)	yaqiynF[A	N	STEM|POS:N|LEM:yaqiyn|ROOT:yqn|MS|INDEF|ACC
(4:158:1:1)	bal	RET	STEM|POS:RET|LEM:bal
(4:158:2:1)	r~afaEa	V	STEM|POS:V|PERF|LEM:rafaEa|ROOT:rfE|3MS
(4:158:2:2)	hu	PRON	SUFFIX|PRON:3MS
(4:158:3:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(4:158:4:1)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(4:158:4:2)	hi	PRON	SUFFIX|PRON:3MS
(4:158:5:1)	wa	REM	PREFIX|w:REM+
(4:158:5:2)	kaAna	V	STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(4:158:6:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(4:158:7:1)	EaziyzFA	N	STEM|POS:N|LEM:Eaziyz|ROOT:Ezz|MS|INDEF|ACC
(4:158:8:1)	HakiymFA	ADJ	STEM|POS:ADJ|LEM:Hakiym|ROOT:Hkm|MS|INDEF|ACC
(4:159:1:1)	wa	REM	PREFIX|w:REM+
(4:159:1:2)	<in	NEG	STEM|POS:NEG|LEM:<in|SP:kaAn
(4:159:2:1)	m~ino	P	STEM|POS:P|LEM:min
(4:159:3:1)	>aholi	N	STEM|POS:N|LEM:>ahol|ROOT:Ahl|M|GEN
(4:159:4:1)	{lo	DET	PREFIX|Al+
(4:159:4:2)	kita`bi	N	STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN
(4:159:5:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(4:159:6:1)	la	EMPH	PREFIX|l:EMPH+
(4:159:6:2)	yu&omina	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MS
(4:159:6:3)	n~a	EMPH	SUFFIX|+n:EMPH
(4:159:7:1)	bi	P	PREFIX|bi+
(4:159:7:2)	hi.	PRON	STEM|POS:PRON|3MS
(4:159:8:1)	qabola	T	STEM|POS:T|LEM:qabol|ROOT:qbl|ACC
(4:159:9:1)	mawoti	N	STEM|POS:N|LEM:mawot|ROOT:mwt|M|GEN
(4:159:9:2)	hi.	PRON	SUFFIX|PRON:3MS
(4:159:10:1)	wa	REM	PREFIX|w:REM+
(4:159:10:2)	yawoma	T	STEM|POS:T|LEM:yawom|ROOT:ywm|M|ACC
(4:159:11:1)	{lo	DET	PREFIX|Al+
(4:159:11:2)	qiya`mapi	N	STEM|POS:N|LEM:qiya`map|ROOT:qwm|FP|GEN
(4:159:12:1)	yakuwnu	V	STEM|POS:V|IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(4:159:13:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(4:159:13:2)	himo	PRON	SUFFIX|PRON:3MP
(4:159:14:1)	$ahiydFA	N	STEM|POS:N|LEM:$ahiyd|ROOT:$hd|MS|INDEF|ACC
(4:160:1:1)	fa	CONJ	PREFIX|f:CONJ+
(4:160:1:2)	bi	P	PREFIX|bi+
(4:160:1:3)	ZulomK	N	STEM|POS:N|LEM:Zulom|ROOT:Zlm|M|INDEF|GEN
(4:160:2:1)	m~ina	P	STEM|POS:P|LEM:min
(4:160:3:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(4:160:4:1)	haAdu	V	STEM|POS:V|PERF|LEM:haAdu|ROOT:hwd|3MP
(4:160:4:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:160:5:1)	Har~amo	V	STEM|POS:V|PERF|(II)|LEM:Har~ama|ROOT:Hrm|1P
(4:160:5:2)	naA	PRON	SUFFIX|PRON:1P
(4:160:6:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(4:160:6:2)	himo	PRON	SUFFIX|PRON:3MP
(4:160:7:1)	Tay~iba`tK	N	STEM|POS:N|LEM:Tay~iba`t|ROOT:Tyb|FP|INDEF|ACC
(4:160:8:1)	>uHil~ato	V	STEM|POS:V|PERF|PASS|(IV)|LEM:>aHal~a|ROOT:Hll|3FS
(4:160:9:1)	la	P	PREFIX|l:P+
(4:160:9:2)	humo	PRON	STEM|POS:PRON|3MP
(4:160:10:1)	wa	CONJ	PREFIX|w:CONJ+
(4:160:10:2)	bi	P	PREFIX|bi+
(4:160:10:3)	Sad~i	N	STEM|POS:N|VN|LEM:Sad~|ROOT:Sdd|M|GEN
(4:160:10:4)	himo	PRON	SUFFIX|PRON:3MP
(4:160:11:1)	Ean	P	STEM|POS:P|LEM:Ean
(4:160:12:1)	sabiyli	N	STEM|POS:N|LEM:sabiyl|ROOT:sbl|M|GEN
(4:160:13:1)	{ll~ahi	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
(4:160:14:1)	kaviyrFA	ADJ	STEM|POS:ADJ|LEM:kaviyr|ROOT:kvr|MS|INDEF|ACC
(4:161:1:1)	wa	CONJ	PREFIX|w:CONJ+
(4:161:1:2)	>axo*i	N	STEM|POS:N|VN|LEM:>axo*|ROOT:Ax*|M|GEN
(4:161:1:3)	himu	PRON	SUFFIX|PRON:3MP
(4:161:2:1)	{l	DET	PREFIX|Al+
(4:161:2:2)	r~ibaw`A@	N	STEM|POS:N|LEM:r~ibaw`A|ROOT:rbw|M|GEN
(4:161:3:1)	wa	REM	PREFIX|w:REM+
(4:161:3:2)	qado	CERT	STEM|POS:CERT|LEM:qad
(4:161:4:1)	nuhu	V	STEM|POS:V|PERF|PASS|LEM:nahaY`|ROOT:nhy|3MP
(4:161:4:2)	wA@	PRON	SUFFIX|PRON:3MP
(4:161:5:1)	Eano	P	STEM|POS:P|LEM:Ean
(4:161:5:2)	hu	PRON	SUFFIX|PRON:3MS
(4:161:6:1)	wa	CONJ	PREFIX|w:CONJ+
(4:161:6:2)	>akoli	N	STEM|POS:N|VN|LEM:>akol|ROOT:Akl|M|GEN
(4:161:6:3)	himo	PRON	SUFFIX|PRON:3MP
(4:161:7:1)	>amowa`la	N	STEM|POS:N|LEM:maAl|ROOT:mwl|MP|ACC
(4:161:8:1)	{l	DET	PREFIX|Al+
(4:161:8:2)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
